timestamp,lat,lon,heading
1736512985.6,47.50882,19.06868,53.49
1736512985.7,47.50893,19.0689,51.079
1736512985.8,47.50905,19.06912,41.287
1736512985.9,47.50915,19.06925,37.667
1736513040.0,47.50922,19.06933,40.176
1736513040.1,47.5093,19.06943,57.606
1736513040.2,47.50933,19.0695,67.072
1736513040.3,47.50935,19.06957,161.338
1736513040.4,47.50933,19.06958,136.6
1736513040.5,47.50928,19.06965,121.668
1736513040.6,47.50923,19.06977,95.637
1736513040.7,47.50922,19.06992,101.166
1736513040.8,47.5092,19.07007,73.506
1736513040.9,47.50923,19.07022,56.062
1736513041.0,47.50928,19.07033,25.306
1736513041.1,47.50938,19.0704,63.734
1736513041.2,47.50943,19.07055,60.343
1736513041.3,47.50948,19.07068,356.778
1736513041.4,47.5096,19.07067,37.667
1736513041.5,47.50967,19.07075,11.455
1736513041.6,47.50977,19.07078,293.948
1736513041.7,47.5098,19.07068,357.422
1736513041.8,47.50995,19.07067,350.415
1736513041.9,47.51003,19.07065,25.756
1736513042.1,47.51017,19.07075,53.49
1736513042.2,47.51023,19.07087,47.976
1736513042.3,47.51037,19.0711,34.037
1736513042.4,47.51052,19.07125,66.052
1736513042.5,47.51055,19.07135,66.052
