timestamp,lat,lon,heading
1736498645.5,47.50875,19.0687,45.376
1736498645.7,47.50885,19.06885,34.038
1736498645.9,47.50893,19.06893,66.47
1736498700.1,47.50898,19.0691,29.375
1736498700.3,47.5091,19.0692,47.665
1736498700.5,47.50918,19.06933,42.007
1736498700.7,47.50927,19.06945,62.412
1736498700.9,47.50933,19.06962,62.609
1736498701.0,47.5094,19.06982,36.195
1736498701.2,47.50952,19.06995,355.708
1736498701.4,47.5097,19.06993,24.242
1736498701.5,47.50985,19.07003,63.734
1736498701.7,47.50993,19.07027,73.506
1736498701.9,47.50998,19.07052,54.601
1736498702.1,47.5101,19.07077,51.706
1736498702.3,47.51018,19.07092,45.375
1736498702.4,47.5103,19.0711,41.454
1736498702.6,47.51043,19.07127,69.689
1736498702.8,47.51045,19.07135,22.571
1736498703.0,47.51058,19.07143,34.037
1736498703.2,47.51072,19.07157,34.037
