timestamp,lat,lon,heading
1736500621.1,47.5108,19.07163,223.172
1736500621.3,47.51062,19.07138,225.375
1736500621.5,47.51048,19.07117,226.544
1736500621.7,47.51032,19.07092,221.158
1736500621.9,47.51015,19.0707,304.054
1736500622.1,47.51078,19.06932,132.778
1736500622.2,47.51003,19.07052,231.912
1736500622.4,47.50985,19.07018,214.038
1736500622.6,47.5097,19.07003,228.386
1736500622.8,47.50958,19.06983,227.665
1736500623.0,47.50942,19.06957,220.176
1736500623.2,47.5093,19.06942,229.186
1736500623.4,47.50923,19.0693,225.376
1736500623.6,47.50905,19.06903,227.223
1736500623.8,47.50895,19.06887,225.376
1736500624.0,47.50875,19.06857,225.376
